Date,Label,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25
2002-03-25,0,Lucasfilm is trying to make,One of the people challenging,South ditches North Korea players idea,"Of Brazilians, brains and brawls",Clyde's whines hard to reconcile,Byers: �300m grant 'self-financing',Teachers fear 'cranks' will open faith schools,Pires to miss the World Cup,"Release Arafat, Bush asks Sharon",Arts: Gorillaz in their midst,Yeo blasts No 10,Consignia considers brand u-turn,Consignia's woes threaten charity,Anger at looming job losses and privatisation at navy bases,"Arsenal, Tottenham, and West Ham-on-Sea","BBCSO/Davis, Barbican, London",Poet Paulin takes the stand in Oxford race case,Architecture: Wonders and blunders,A Guide to the End of the World pt 2,A Guide to the End of the World: Everything You Never Wanted to Know by Bill McGuire,Second stoning verdict handed down in Nigeria,"Consignia to cut 15,000 jobs",ABN Amro team defects to rival,Hewitt confirms Consignia job cuts,Defence worker charged with spying
2002-03-26,0,Week 17 San Francisco,World Cup scores for Asian detente,ITV Digital chiefs meet BBC,Convicted rapist set for early release,Scientists welcome new tax break on research,Zero tolerance demanded on classroom assaults,"Kenneth, Svennis, and Kenyon",Rocker Rod sells England to Effenberg,Setbacks for children's commissioner's first inquiry,"Simon Keenlyside, Wigmore Hall, London",League refuse to bend to ITV bullies,China and Iran threaten test ban treaty,Villa move in on Crouch,Blair: food and farming problems to be addressed,Government to regulate online gambling,The view from Blackpool beach,Sinn Fein MPs forced to list interests,Ian Buruma on the rise of the new right in Europe,Schr�der stands alone,"1,500 feared killed in Afghan earthquake",'I live a lie every day',Last week's price increases by,Home Office to move to �311m complex,"TV bonanza is over, claims United chief",Stam says no to City
2002-03-27,1,England 1 - 2 Italy,Dudley Moore dies at 66,Suicide bomber strikes at Passover meal,Start spreading the news,A mini-budget for business,Jonathan Freedland: These hybrid monsters,Win the Lonely Planet Guide to London,Capital attractions,Super Eagles fail to soar,Take to the skies,Crouch ends time at Pompey,Government to go ahead with parenting classes,Dyke: 'Sad day',ITV Digital prepares for 'meltdown',Battle to lead TUC begins,"The Charlatans, Badly Drawn Boy, and The White Stripes","'I've lost faith in institute,' Paulin tells court",Eight dead in Paris council shooting,ITV Digital 'would cost �30m',Ex-Andersen boss was 'sacrificial lamb',Galleries plead for Omai portrait,ITV Digital admits game is up,Passover,Trimble sues Amazon for libel,Parents: Mind the gap
2002-03-28,1,British Museum sold precious bronzes,Bridge & co point to future of promise,"'Remember, to survive in the",The Knowledge,"Billy Wilder dies, aged 95",US to seek death penalty for terror suspect,The myth of the Mona Lisa,Kirch survives for another weekend,Week 17: Malaysia,Country site alliance,TV ratings: March 27,'Statement made by Sheikh Osama bin Laden',England 1 - 2 Italy,'Digital Britain could cost �10bn',Clubs talk tough over ITV Digital,Sweden 1 - 1 Switzerland,Cameroon 2 - 2 Argentina,Union accuses Arriva of misleading public,CWU to cut Labour cash,Irritation at Monks naming successor,Leader: A quiet revolutionary,Monkey sanctuary,"Bond, James, and Secret weapon",One day there will be,Brown pledges tax breaks for small businesses
2002-04-01,0,Nationwide League round-up,Super League: St Helens 19 - 0 Wigan,Wolverhampton 0 - 2 Manchester City,Crystal Palace 0 - 0 Birmingham City,Montoya rages at bias for Schumacher,Fulham 0 - 1 West Ham,Coventry 0 - 1 West Bromwich Albion,Thorpe stands amid the ruins,Blackburn 2 - 0 Sunderland,Charlton 0 - 3 Arsenal,Concern over fast-track eviction powers,"The Beach, York","Yeah Yeah Yeahs, London","A Slice of Paradise, London","Bob Geldof, Nantwich jazz and blues festival","Peter Green, Sheffield","Eyes of the Kappa, London",City stand on the brink of promotion,Useful links: London art venues,Gunners shoot to top spot,Changes at the National Theatre,"BBCSO/Davis, Barbican,  London",Monday's rumours,Useful links: Major pop venues (outside London),Useful links: Major UK theatres outside London
2002-04-02,0,"Gwent CO/ Gedge, Brecon Theatre","Joseph Beuys: Bits and Pieces, London","Very Yellow, London",Liza Minnelli,"Ruth Vollmer, Edinburgh","Ten Years After, Liverpool","A Certain Ratio, London",Geraghty clings on to victory,Hansen enters Welsh rugby dispute,Sunderland 2 - 1 Leicester,Everton 3 - 1 Bolton,Ipswich 0 - 0 Chelsea,Derby 0 - 1 Middlesbrough,Veron setback lets Ferguson off the hook,Tottenham 2 - 1 Leeds,Portsmouth 1 - 1 Burnley,Halifax fall out of the league again,Warrington 14 - 20  Widnes,Bradford win 1000th Super League game,Frustrated McCoy hit with a ban,Sending updates over the internet,The Gap-Year Guidebook 2002/03,"Arafat and Sharon should resign, says EU official",Manchester City fans in Boston,Clubs issue ITV �550m ultimatum
2002-04-03,0,Panathinaikos 1 - 0 Barcelona,If you downloaded KaZaA (for,What's new,3G: The future is not,Read my lips: NTT DoCoMo,"Fu Manchu, London","Giselle, Leeds","Scenes from a Watercooler, Dublin","Ghosts, Cambridge","The Bellrays, Lee","Fresh, London",Liverpool 1 - 0 Bayer Leverkusen,This is what the bombers want,Clerics urge end to Bethlehem siege,"Tax loophole could aid drug dumping, warns charity",Games pioneers head for college,Green sweep,BBC news chief condemns Israel,"Wayne's world too bland, charges watchdog","Rashid is irreplaceable, says captain Adams",What the Israeli and Middle Eastern papers say,"RPO/Gatti, Royal Festival Hall, London",The paper chase,"Physios, Players, and Trainers",BV buys out Clickmusic
2002-04-04,0,Letters: Failure in the Falklands,Wimbledon 2 - 0 Crewe,Carr's injury rules him out of World Cup,Di Canio says play me or free me,Allardyce set to make history,Man Utd far from home and dry,Florida Pearl's five-star show,Llewellyn dreaming of a treble in National,Wisden turns on county game,England come home disappointed,"Pink, London","The Two Pigeons, Edinburgh","A Chaste Maid in Cheapside, London","Tony Kofi and the Afro-Jazz Family, London",How about a digital rights,Before you register an interest,Off with their bails!,Bush: 'enough is enough',Congratulations to Jungle for being,Week 18: back at home,Kirch to file for bankruptcy,"Step up,  Step on, and Step-over",Oxford dons 'closed ranks' to protect colleague,"The Secret Marriage, Barbican, London",A slave woman writes
2002-04-05,1,Rail chief wants to build TGV-style link to Scotland,Thousands stranded as disputes rumble on,Musharraf ready to use nuclear arms,Murder trial Pearl case opens in Karachi jail,Brussels fumes as Germany fights tobacco advertising ban,Germany sees record number of company insolvencies,Sharon tries to destroy all traces of Arafat rule,Here come the bonsai bands,Po Na Na slow to sell clubs,Premier buys sporting rival,Bertelsmann to take over Napster,Luther King murder claim,Onslaught continues as Arafat meets US envoy,REM guitarist cleared of air rage,"Ready to pounce, the enemy in the shadows",Doctors guide births by telephone,Why Bush was forced to quit sidelines and launch new peace effort,EU funds Afghan opium battle,Madagascar on the brink of civil war,Woman flies to Berlin for surgery after NHS delays,Finding the right mix when you hit the decks,Blair faces tax bill for holiday at Egypt's expense,The perfect... Baked potato,What's new,Down in one
2002-04-08,1,A proper game of four-day cricket - but where is its appeal?,Counties to succumb to night fever,"Lament, Glasgow","Baaba Maal/ Howie B, London","Tim Richards Trio, Derby","The Inland Sea, London","Missing Reel, Leeds",Last bite at a green jacket for the Great White Shark,America is great - but for the Americans,Trainer may bow out on Bindaree's high note,"'I said to the horse, right, I'm dropping my hands, you  get on with it'",O'Brien plans on hold after Rebelline victory,Hickman strikes butterfly gold for fourth time in a row,Gilford blows his golden chance in the Algarve gales,Interview  Haile Gebrselassie,"Squash struggles gamely on, unwanted but undaunted",Nelson battles to weary victory,Super League round-up,St Helens 30 - 26 Leeds,London Broncos 15 - 14 Bradford,Welsh grassroots throw out Gang of Six plan,Woodward's old Lions show their teeth,Where England need to improve,Wales 22 - 27 Scotland,France 44 - 5 Ireland
2002-04-09,0,Ferguson takes on Veron baiters,Eriksson to juggle for Paraguay,Saviola strike puts Barcelona in last four,Cardiff guarantee play-offs,An all-White night for the Stags,"Review: Arc Dance Company, London",Atomic Kitten,Review:,"Review: Craig Armstrong, London","Review: A Buyer's Market, London",Woodward calls for major England overhaul,George Francis mourned by lords of the ring,Scotland in crisis after Old Firm snub TV deal,Big club backers threaten to walk away from Welsh rugby,Dad tells Venus to quit,Acid test for Houllier's dream team,Bowyer and Keane pledge their future to Leeds,Leicester 1 - 0 Celtic,Butt to lead Asian nines,Stripper claims she was assaulted by Tyson,Cycle turns for Radcliffe,Groin and bear it when injury offers an excuse for losing,Tiger tamed by earning his stripes,Bell to endure England contract delay,Ten to follow for a profitable season
2002-04-10,0,Baxter to take medal appeal to the top,Sport in brief,"'I'm lucky to be alive,' says Clohessy",Melville's unhappy return,Everitt keeps Irish buzzing,Football jamboree offers a lesson to tennis,"Hann chills, rebuilds and giant-kills",Bookmakers in revolt,Big-hitting kids are a worry to Woods,Remembering friends,Stewart faces end of Test career,The jacket still fits Tiger,Counties to agree on appeal boost,Gebrselassie vows to break London record,Poetry in emotion,"Bruen's Twist, Cork","Dave Weckl, London","Pal Joey, Playhouse. Nottingham","Cross Cultures, London","Lobby Hero, Donmar Warehouse, London",Week 30: the verdict,Manchester United 3 - 1 Deportivo La Coruna,If you search from Netscape,Hungary for new leadership,Cost of motor insurance creeps upwards
2002-04-11,1,No easy ride for Dunwoody the marathon man,Melville escapes ban for referee rant,O'Brien's ace all set for Kentucky,Limping Hughes gallops back with a winner,Last stand for Arnie's Army,Montoya prays for rain to restrain,Harrington's day spoiled,Snead's slice leaves fan flat out,Today's tee-off times,Insider knowledge prompts Baxter appeal,Feyenoord at home in Uefa final,"Women in Arms, Dublin","Oxide and Neutrino, London","OAE/Alessandrini, London","The Constant Wife, Apollo Theatre, London","India Arie, London",RLPO/Christie,What's new,A new connection for texting,Is the Manager of the month award a poisoned chalice?,Week 19: back at home,Terms and conditions for Europe Cheap,Europe Cheap,Olazabal and Tiger hunt together,Prague Writers' Festival programme
2002-04-12,0,Wear it now,Poetry was all I had,"Shockheaded Peter, London","The Jon Spencer Blues Explosion, Manchester",Woodgate's jaw broken in 'horseplay',Aberdeen chief blasts Old Firm,Keane fit for European Cup final,Anelka recalled by France,Wembley chairman Walker is ousted,Giggs' pace can be the key to locking door on Leverkusen,Hodge puts case for poorer students,Britain is abuzz about an,What are Web services? The,Powell fails to secure Israeli withdrawal,Harrington on the lookout for Love,Students to table Palestinian motion,Leeds footballers face civil action,Glasgow pupils banned from drawing nudes,Middle Eastern conflict 'hits streets of France',Wellcome Trust director to step down,'Paramedics and ambulance technicians are the forgotten heroes','Why is the government obsessed with hospitals?',Beckham causes China crisis,Homes evacuated after blaze at chemical plant,Fincher in frame for Mission: Impossible 3
2002-04-15,1,Continent has winning look,Gregory chases comeback with Swinton,Saracens dealt Bracken blow,France hails 15-year-old as Safin eyes clay crown,Carbury at short odds for National,US Masters final scoreboard,Radcliffe may need operation on knee,Byas looks to life on t'other side,Nothing stands in way of the Tiger,Manchester clock ticks for Freeman,Mind your pees and ewes,"Gwyneth and the Green Knight, Brecon","Lorna Dallas, Jermyn Street Theatre, London","Flaco Jimenez, London","Marah, London","Joan Rivers, London","David Mead, Manchester","Northern Sinfonia, Newcastle",Tall order for Taylor to fit Crouch with wings,Women's football,Round up,Tigers call up cavalry to fix their fourth title,Late call for Keown after Cup injuries,Brown still in the frame,England squad v Paraguay
